,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
97,04/07/2024,"AthThulatha, 07 Rabi' Thani, 2024",04:57 AM,05:17 AM,06:23 AM,12:57 PM,01:15 PM,04:38 PM,05:00 PM,07:32 PM,07:37 PM,08:58 PM,09:13 PM,1:15 PM,2:15 PM
98,04/08/2024,"AlArbia'a, 08 Rabi' Thani, 2024",04:55 AM,05:15 AM,06:21 AM,12:57 PM,01:15 PM,04:38 PM,05:00 PM,07:33 PM,07:38 PM,08:59 PM,09:14 PM,1:15 PM,2:15 PM
99,04/09/2024,"AlKhamis, 09 Rabi' Thani, 2024",04:53 AM,05:13 AM,06:19 AM,12:57 PM,01:15 PM,04:39 PM,05:00 PM,07:34 PM,07:39 PM,09:01 PM,09:16 PM,1:15 PM,2:15 PM
100,04/10/2024,"AlJumaa, 10 Rabi' Thani, 2024",04:51 AM,05:11 AM,06:18 AM,12:57 PM,01:15 PM,04:39 PM,05:00 PM,07:36 PM,07:41 PM,09:03 PM,09:08 PM,1:15 PM,2:15 PM
101,04/11/2024,"AsSabt, 11 Rabi' Thani, 2024",04:48 AM,05:08 AM,06:16 AM,12:56 PM,01:15 PM,04:40 PM,05:00 PM,07:37 PM,07:42 PM,09:04 PM,09:09 PM,1:15 PM,2:15 PM
102,04/12/2024,"AlAhad, 12 Rabi' Thani, 2024",04:46 AM,05:06 AM,06:14 AM,12:56 PM,01:15 PM,04:40 PM,05:00 PM,07:38 PM,07:43 PM,09:06 PM,09:11 PM,1:15 PM,2:15 PM
103,04/13/2024,"AlEthnien, 13 Rabi' Thani, 2024",04:44 AM,05:04 AM,06:12 AM,12:56 PM,01:15 PM,04:41 PM,05:00 PM,07:39 PM,07:44 PM,09:08 PM,09:13 PM,1:15 PM,2:15 PM
104,04/14/2024,"AthThulatha, 14 Rabi' Thani, 2024",04:42 AM,05:02 AM,06:10 AM,12:56 PM,01:15 PM,04:42 PM,05:00 PM,07:41 PM,07:46 PM,09:09 PM,09:14 PM,1:15 PM,2:15 PM
105,04/15/2024,"AlArbia'a, 15 Rabi' Thani, 2024",04:40 AM,05:00 AM,06:09 AM,12:55 PM,01:15 PM,04:42 PM,05:00 PM,07:42 PM,07:47 PM,09:11 PM,09:16 PM,1:15 PM,2:15 PM
106,04/16/2024,"AlKhamis, 16 Rabi' Thani, 2024",04:38 AM,04:58 AM,06:07 AM,12:55 PM,01:15 PM,04:43 PM,05:00 PM,07:43 PM,07:48 PM,09:13 PM,09:18 PM,1:15 PM,2:15 PM
107,04/17/2024,"AlJumaa, 17 Rabi' Thani, 2024",04:35 AM,04:55 AM,06:05 AM,12:55 PM,01:15 PM,04:43 PM,05:00 PM,07:45 PM,07:50 PM,09:14 PM,09:19 PM,1:15 PM,2:15 PM
108,04/18/2024,"AsSabt, 18 Rabi' Thani, 2024",04:33 AM,04:53 AM,06:03 AM,12:55 PM,01:15 PM,04:44 PM,05:00 PM,07:46 PM,07:51 PM,09:16 PM,09:21 PM,1:15 PM,2:15 PM
